0 9.86879268537301 9.86960440108936
1 39.4654314345726 39.4784176043574
2 88.760707938402 88.8264396098042
3 157.705973710446 157.91367041743
4 246.233188097247 246.740110027234
5 354.254985426229 355.305758439217
6 481.664761225053 483.610615653379
7 628.33677742738 631.654681669719
8 794.126286461143 799.437956488238
9 978.869674096932 986.960440108936
10 1182.3846209155 1194.22213253181
11 1404.47028223498 1421.22303375687
12 1644.90748632037 1667.9631437841
13 1903.45895067962 1934.44246261351
14 2179.86951623264 2220.66099024511
15 2473.86639912272 2526.61872667888
16 2785.15945992112 2852.31567191482
17 3113.4414899597 3197.75182595295
18 3458.38851450877 3562.92718879326
19 3819.66011250105 3947.84176043574
20 4196.89975248619 4352.49554088041
21 4589.73514448423 4776.88853012725
22 4997.77860739081 5221.02072817627
23 5420.62745157177 5684.89213502747
24 5857.86437626908 6168.50275068085
25 6309.05788142622 6671.8525751364
26 6773.76269352696 7194.94160839414
27 7251.5202050262 7737.76985045406
28 7741.85892694047 8300.33730131615
29 8244.29495415054 8882.64396098042
30 8758.33244295741 9484.68982944687
31 9283.46410042007 10106.4749067155
32 9819.17168499261 10747.9991927863
